Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,G+A-PK,Rk_stats_keeper,Nation_stats_keeper,Pos_stats_keeper,Comp_stats_keeper,Age_stats_keeper,Born_stats_keeper,MP_stats_keeper,Starts_stats_keeper,Min_stats_keeper,90s_stats_keeper,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt_stats_keeper,PKA,PKsv,PKm,Rk_stats_shooting,Nation_stats_shooting,Pos_stats_shooting,Comp_stats_shooting,Age_stats_shooting,Born_stats_shooting,90s_stats_shooting,Gls_stats_shooting,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK_stats_shooting,PKatt_stats_shooting,Rk_stats_playing_time,Nation_stats_playing_time,Pos_stats_playing_time,Comp_stats_playing_time,Age_stats_playing_time,Born_stats_playing_time,MP_stats_playing_time,Min_stats_playing_time,Mn/MP,Min%,90s_stats_playing_time,Starts_stats_playing_time,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,Rk_stats_misc,Nation_stats_misc,Pos_stats_misc,Comp_stats_misc,Age_stats_misc,Born_stats_misc,90s_stats_misc,CrdY_stats_misc,CrdR_stats_misc,2CrdY,Fls,Fld,Off,Crs,Int,TklW,OG
545,Pablo Durán,es ESP,FW,Celta Vigo,es La Liga,25.0,2001,4,2,201,2.2,0,0,0,0,0,0,0,0,0.00,,,,,,,,,,,,,,,,,,,,,,,,,545,es ESP,FW,es La Liga,25-112,2001,2.2,0,2,1,50.0,0.90,0.45,0.00,0.00,0,0,684,es ESP,FW,es La Liga,25-112,2001,4,201,50,37.2,2.2,2,73,0,2,28,2,0.75,2,3,-1,-0.45,+0.08,545,es ESP,FW,es La Liga,25-112,2001,2.2,0,0,0,2,2,3,1,0,1,0
546,Julien Duranville,be BEL,FW,Lyon,fr Ligue 1,20.0,2006,1,1,62,0.7,0,0,0,0,0,0,0,0,0.00,,,,,,,,,,,,,,,,,,,,,,,,,546,be BEL,FW,fr Ligue 1,20-132,2006,0.7,0,0,0,,0.00,0.00,,,0,0,685,be BEL,FW,fr Ligue 1,20-132,2006,1,62,62,17.2,0.7,1,62,0,0,,0,3.00,0,0,0,0.00,-1.21,546,be BEL,FW,fr Ligue 1,20-132,2006,0.7,0,0,0,0,1,0,2,0,0,0
547,Hugo Duro,es ESP,FW,Valencia,es La Liga,26.0,1999,5,1,116,1.3,0,0,0,0,0,0,0,0,0.00,,,,,,,,,,,,,,,,,,,,,,,,,547,es ESP,FW,es La Liga,26-308,1999,1.3,0,0,0,,0.00,0.00,,,0,0,686,es ESP,FW,es La Liga,26-308,1999,5,116,23,25.8,1.3,1,54,0,4,16,0,0.20,0,2,-2,-1.55,+0.33,547,es ESP,FW,es La Liga,26-308,1999,1.3,0,0,0,1,3,0,0,1,0,0
548,Paulo Dybala,ar ARG,"MF,FW",Roma,it Serie A,32.0,1993,3,3,251,2.8,0,4,4,0,0,0,0,0,1.43,,,,,,,,,,,,,,,,,,,,,,,,,548,ar ARG,"MF,FW",it Serie A,32-303,1993,2.8,0,13,4,30.8,4.66,1.43,0.00,0.00,0,0,687,ar ARG,"MF,FW",it Serie A,32-303,1993,3,251,84,93.0,2.8,3,84,1,0,,0,3.00,9,1,+8,+2.87,-1.87,548,ar ARG,"MF,FW",it Serie A,32-303,1993,2.8,0,0,0,2,4,1,16,0,1,0
549,Edin Džeko,ba BIH,FW,Schalke 04,de Bundesliga,40.0,1986,2,0,26,0.3,0,0,0,0,0,0,0,0,0.00,,,,,,,,,,,,,,,,,,,,,,,,,549,ba BIH,FW,de Bundesliga,40-181,1986,0.3,0,0,0,,0.00,0.00,,,0,0,688,ba BIH,FW,de Bundesliga,40-181,1986,2,26,13,9.6,0.3,0,,0,2,13,1,1.50,1,3,-2,-6.92,-7.29,549,ba BIH,FW,de Bundesliga,40-181,1986,0.3,0,0,0,1,1,1,0,0,0,0
550,Younes Ebnoutalib,de GER,FW,Frankfurt,de Bundesliga,23.0,2003,3,2,191,2.1,3,1,4,3,0,0,1,0,1.88,,,,,,,,,,,,,,,,,,,,,,,,,550,de GER,FW,de Bundesliga,23-001,2003,2.1,3,8,4,50.0,3.77,1.88,0.38,0.75,0,0,689,de GER,FW,de Bundesliga,23-001,2003,3,191,64,70.7,2.1,2,87,1,1,17,0,1.33,4,7,-3,-1.41,-3.69,550,de GER,FW,de Bundesliga,23-001,2003,2.1,1,0,0,2,1,3,2,0,1,0
551,Simon Ebonog,cm CMR,MF,Le Havre,fr Ligue 1,22.0,2004,4,4,342,3.8,0,0,0,0,0,0,0,0,0.00,,,,,,,,,,,,,,,,,,,,,,,,,551,cm CMR,MF,fr Ligue 1,22-029,2004,3.8,0,3,2,66.7,0.79,0.53,0.00,0.00,0,0,690,cm CMR,MF,fr Ligue 1,22-029,2004,4,342,86,95.0,3.8,4,86,2,0,,0,0.50,2,3,-1,-0.26,+4.74,551,cm CMR,MF,fr Ligue 1,22-029,2004,3.8,0,0,0,9,10,0,2,9,5,0
552,Enzo Ebosse,cm CMR,DF,Udinese,it Serie A,27.0,1999,3,2,202,2.2,0,0,0,0,0,0,0,0,0.00,,,,,,,,,,,,,,,,,,,,,,,,,552,cm CMR,DF,it Serie A,27-187,1999,2.2,0,0,0,,0.00,0.00,,,0,0,691,cm CMR,DF,it Serie A,27-187,1999,3,202,67,74.8,2.2,2,79,1,1,45,0,1.33,4,5,-1,-0.45,-1.77,552,cm CMR,DF,it Serie A,27-187,1999,2.2,0,0,0,2,1,0,3,3,0,0
553,Zakaria Eddahchouri,nl NED,FW,Dep. A Coruña,es La Liga,26.0,2000,3,0,65,0.7,1,0,1,1,0,0,0,0,1.38,,,,,,,,,,,,,,,,,,,,,,,,,553,nl NED,FW,es La Liga,26-126,2000,0.7,1,3,1,33.3,4.15,1.38,0.33,1.00,0,0,695,nl NED,FW,es La Liga,26-126,2000,3,65,22,14.4,0.7,0,,0,3,22,2,1.67,3,1,+2,+2.77,+2.54,553,nl NED,FW,es La Liga,26-126,2000,0.7,0,0,0,2,1,0,0,0,1,0
554,Bright Ede,pl POL,DF,Dep. A Coruña,es La Liga,19.0,2007,3,2,197,2.2,0,0,0,0,0,0,0,0,0.00,,,,,,,,,,,,,,,,,,,,,,,,,554,pl POL,DF,es La Liga,19-208,2007,2.2,0,1,0,0.0,0.46,0.00,0.00,,0,0,696,pl POL,DF,es La Liga,19-208,2007,3,197,66,43.8,2.2,2,90,2,1,17,2,1.67,4,2,+2,+0.91,+0.56,554,pl POL,DF,es La Liga,19-208,2007,2.2,0,0,0,0,1,0,0,2,3,0
555,Noah Edjouma,fr FRA,FW,Brest,fr Ligue 1,20.0,2005,1,0,24,0.3,0,0,0,0,0,0,0,0,0.00,,,,,,,,,,,,,,,,,,,,,,,,,555,fr FRA,FW,fr Ligue 1,20-345,2005,0.3,0,1,1,100.0,3.75,3.75,0.00,0.00,0,0,698,fr FRA,FW,fr Ligue 1,20-345,2005,1,24,24,6.7,0.3,0,,0,1,24,0,3.00,0,1,-1,-3.75,-4.02,555,fr FRA,FW,fr Ligue 1,20-345,2005,0.3,0,0,0,0,0,0,0,0,0,0
556,Odsonne Édouard,fr FRA,FW,Lens,fr Ligue 1,28.0,1998,3,1,86,1.0,0,0,0,0,0,0,0,0,0.00,,,,,,,,,,,,,,,,,,,,,,,,,556,fr FRA,FW,fr Ligue 1,28-241,1998,1.0,0,2,1,50.0,2.09,1.05,0.00,0.00,0,0,699,fr FRA,FW,fr Ligue 1,28-241,1998,3,86,29,23.9,1.0,1,45,0,2,21,0,1.33,2,2,0,0.00,-0.33,556,fr FRA,FW,fr Ligue 1,28-241,1998,1.0,0,0,0,1,1,0,1,0,0,0
557,John Egan,ie IRL,DF,Hull City,eng Premier League,33.0,1992,4,4,360,4.0,0,0,0,0,0,0,1,0,0.00,,,,,,,,,,,,,,,,,,,,,,,,,557,ie IRL,DF,eng Premier League,33-329,1992,4.0,0,1,0,0.0,0.25,0.00,0.00,,0,0,701,ie IRL,DF,eng Premier League,33-329,1992,4,360,90,100.0,4.0,4,90,4,0,,0,2.00,5,2,+3,+0.75,,557,ie IRL,DF,eng Premier League,33-329,1992,4.0,1,0,0,3,1,0,0,6,2,0
558,CJ Egan-Riley,eng ENG,DF,Marseille,fr Ligue 1,23.0,2003,4,4,344,3.8,0,0,0,0,0,0,0,0,0.00,,,,,,,,,,,,,,,,,,,,,,,,,558,eng ENG,DF,fr Ligue 1,23-255,2003,3.8,0,0,0,,0.00,0.00,,,0,0,702,eng ENG,DF,fr Ligue 1,23-255,2003,4,344,86,95.6,3.8,4,86,3,0,,0,0.75,4,6,-2,-0.52,-11.77,558,eng ENG,DF,fr Ligue 1,23-255,2003,3.8,0,0,0,1,4,0,0,6,3,0
559,Sindre Egeli,no NOR,"FW,MF",Ipswich Town,eng Premier League,20.0,2006,1,0,11,0.1,0,0,0,0,0,0,0,0,0.00,,,,,,,,,,,,,,,,,,,,,,,,,559,no NOR,"FW,MF",eng Premier League,20-085,2006,0.1,0,0,0,,0.00,0.00,,,0,0,703,no NOR,"FW,MF",eng Premier League,20-085,2006,1,11,11,3.1,0.1,0,,0,1,11,1,3.00,1,0,+1,+8.18,+9.21,559,no NOR,"FW,MF",eng Premier League,20-085,2006,0.1,0,0,0,1,1,0,0,0,0,0
560,Maximilian Eggestein,de GER,MF,Freiburg,de Bundesliga,29.0,1996,3,3,270,3.0,2,0,2,2,0,0,0,0,0.67,,,,,,,,,,,,,,,,,,,,,,,,,560,de GER,MF,de Bundesliga,29-280,1996,3.0,2,8,2,25.0,2.67,0.67,0.25,1.00,0,0,704,de GER,MF,de Bundesliga,29-280,1996,3,270,90,100.0,3.0,3,90,3,0,,0,3.00,10,1,+9,+3.00,,560,de GER,MF,de Bundesliga,29-280,1996,3.0,0,0,0,1,3,0,0,6,1,0
561,Kingsley Ehizibue,nl NED,MF,Genoa,it Serie A,31.0,1995,2,1,84,0.9,0,0,0,0,0,0,1,0,0.00,,,,,,,,,,,,,,,,,,,,,,,,,561,nl NED,MF,it Serie A,31-112,1995,0.9,0,3,0,0.0,3.21,0.00,0.00,,0,0,705,nl NED,MF,it Serie A,31-112,1995,2,84,42,23.3,0.9,1,59,0,1,25,0,0.50,1,2,-1,-1.07,+0.56,561,nl NED,MF,it Serie A,31-112,1995,0.9,1,0,0,2,2,1,1,1,3,0
562,Chidera Ejuke,ng NGA,FW,Sevilla,es La Liga,28.0,1998,5,1,181,2.0,1,0,1,1,0,0,1,0,0.50,,,,,,,,,,,,,,,,,,,,,,,,,562,ng NGA,FW,es La Liga,28-255,1998,2.0,1,2,1,50.0,0.99,0.50,0.50,1.00,0,0,706,ng NGA,FW,es La Liga,28-255,1998,5,181,36,40.2,2.0,1,59,0,4,31,0,2.00,5,1,+4,+1.99,+2.66,562,ng NGA,FW,es La Liga,28-255,1998,2.0,1,0,0,2,2,1,4,2,1,0
563,Jurgen Ekkelenkamp,nl NED,MF,Udinese,it Serie A,26.0,2000,3,3,264,2.9,1,1,2,1,0,0,0,0,0.68,,,,,,,,,,,,,,,,,,,,,,,,,563,nl NED,MF,it Serie A,26-162,2000,2.9,1,7,3,42.9,2.39,1.02,0.14,0.33,0,0,708,nl NED,MF,it Serie A,26-162,2000,3,264,88,97.8,2.9,3,88,2,0,,0,1.33,5,5,0,0.00,0.00,563,nl NED,MF,it Serie A,26-162,2000,2.9,0,0,0,2,3,0,1,3,5,0
564,Jacques Ekomie,ga GAB,DF,Angers,fr Ligue 1,23.0,2003,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,,,,,,,,,,,,,,,,,,,,,,,,,564,ga GAB,DF,fr Ligue 1,23-026,2003,1.0,0,2,0,0.0,2.00,0.00,0.00,,0,0,709,ga GAB,DF,fr Ligue 1,23-026,2003,1,90,90,25.0,1.0,1,90,1,0,,0,0.00,0,2,-2,-2.00,-2.33,564,ga GAB,DF,fr Ligue 1,23-026,2003,1.0,0,0,0,2,0,0,3,2,3,0
565,Pierre Ekwah Elimby,fr FRA,MF,Auxerre,fr Ligue 1,24.0,2002,2,0,34,0.4,0,0,0,0,0,0,0,0,0.00,,,,,,,,,,,,,,,,,,,,,,,,,565,fr FRA,MF,fr Ligue 1,24-242,2002,0.4,0,0,0,,0.00,0.00,,,0,0,710,fr FRA,MF,fr Ligue 1,24-242,2002,2,34,17,9.4,0.4,0,,0,2,17,1,1.50,0,0,0,0.00,+1.66,565,fr FRA,MF,fr Ligue 1,24-242,2002,0.4,0,0,0,0,0,0,0,0,0,0
566,Anthony Elanga,se SWE,MF,Newcastle,eng Premier League,24.0,2002,3,3,232,2.6,2,0,2,2,0,0,1,0,0.78,,,,,,,,,,,,,,,,,,,,,,,,,566,se SWE,MF,eng Premier League,24-140,2002,2.6,2,4,3,75.0,1.55,1.16,0.50,0.67,0,0,711,se SWE,MF,eng Premier League,24-140,2002,3,232,77,85.9,2.6,3,77,0,0,,0,1.67,5,3,+2,+0.78,+0.78,566,se SWE,MF,eng Premier League,24-140,2002,2.6,1,0,0,3,4,0,6,0,1,0
567,Mikael Ellertsson,is ISL,MF,Genoa,it Serie A,24.0,2002,4,4,349,3.9,0,0,0,0,0,0,0,0,0.00,,,,,,,,,,,,,,,,,,,,,,,,,567,is ISL,MF,it Serie A,24-187,2002,3.9,0,2,0,0.0,0.52,0.00,0.00,,0,0,714,is ISL,MF,it Serie A,24-187,2002,4,349,87,96.9,3.9,4,87,3,0,,0,0.25,2,8,-6,-1.55,-1.55,567,is ISL,MF,it Serie A,24-187,2002,3.9,0,0,0,5,2,2,9,2,9,0
568,Harvey Elliott,eng ENG,"FW,MF",Valencia,es La Liga,23.0,2003,2,0,66,0.7,0,0,0,0,0,0,0,0,0.00,,,,,,,,,,,,,,,,,,,,,,,,,568,eng ENG,"FW,MF",es La Liga,23-163,2003,0.7,0,0,0,,0.00,0.00,,,0,0,715,eng ENG,"FW,MF",es La Liga,23-163,2003,2,66,33,14.7,0.7,0,,0,2,33,0,0.00,0,3,-3,-4.09,-2.68,568,eng ENG,"FW,MF",es La Liga,23-163,2003,0.7,0,0,0,0,0,0,0,0,2,0
569,Elif Elmas,mk MKD,FW,Atalanta,it Serie A,26.0,1999,3,1,109,1.2,0,0,0,0,0,0,0,0,0.00,,,,,,,,,,,,,,,,,,,,,,,,,569,mk MKD,FW,it Serie A,26-355,1999,1.2,0,0,0,,0.00,0.00,,,0,0,716,mk MKD,FW,it Serie A,26-355,1999,3,109,36,30.3,1.2,1,65,0,2,22,1,2.00,2,0,+2,+1.65,+2.37,569,mk MKD,FW,it Serie A,26-355,1999,1.2,0,0,0,2,0,0,0,2,1,0
570,Nesta Elphege,fr FRA,FW,Parma,it Serie A,25.0,2001,2,0,18,0.2,0,0,0,0,0,0,0,0,0.00,,,,,,,,,,,,,,,,,,,,,,,,,570,fr FRA,FW,it Serie A,25-248,2001,0.2,0,1,0,0.0,5.00,0.00,0.00,,0,0,717,fr FRA,FW,it Serie A,25-248,2001,2,18,9,6.7,0.2,0,,0,2,9,1,0.00,0,1,-1,-5.00,-4.29,570,fr FRA,FW,it Serie A,25-248,2001,0.2,0,0,0,1,0,0,0,0,0,0
571,Nico Elvedi,ch SUI,DF,Leeds United,eng Premier League,29.0,1996,2,1,147,1.6,0,0,0,0,0,0,0,0,0.00,,,,,,,,,,,,,,,,,,,,,,,,,571,ch SUI,DF,eng Premier League,29-349,1996,1.6,0,0,0,,0.00,0.00,,,0,0,718,ch SUI,DF,eng Premier League,29-349,1996,2,147,74,54.4,1.6,1,90,1,1,57,1,1.00,2,2,0,0.00,-0.73,571,ch SUI,DF,eng Premier League,29-349,1996,1.6,0,0,0,1,2,0,0,2,0,0
572,Emersonn,br BRA,FW,Ipswich Town,eng Premier League,22.0,2004,4,4,237,2.6,2,1,3,2,0,0,0,0,1.14,,,,,,,,,,,,,,,,,,,,,,,,,572,br BRA,FW,eng Premier League,22-060,2004,2.6,2,7,3,42.9,2.66,1.14,0.29,0.67,0,0,719,br BRA,FW,eng Premier League,22-060,2004,4,237,59,65.8,2.6,4,59,0,0,,0,1.50,4,5,-1,-0.38,+1.08,572,br BRA,FW,eng Premier League,22-060,2004,2.6,0,0,0,1,5,2,1,0,2,0
573,Julio Enciso,py PAR,MF,Ipswich Town,eng Premier League,22.0,2004,4,4,340,3.8,0,2,2,0,0,0,1,0,0.53,,,,,,,,,,,,,,,,,,,,,,,,,573,py PAR,MF,eng Premier League,22-234,2004,3.8,0,14,3,21.4,3.71,0.79,0.00,0.00,0,0,720,py PAR,MF,eng Premier League,22-234,2004,4,340,85,94.4,3.8,4,85,3,0,,0,1.50,6,10,-4,-1.06,-5.56,573,py PAR,MF,eng Premier League,22-234,2004,3.8,1,0,0,2,8,2,1,2,2,0
574,Jay Enem,nl NED,FW,Bologna,it Serie A,23.0,2003,1,0,9,0.1,0,0,0,0,0,0,0,0,0.00,,,,,,,,,,,,,,,,,,,,,,,,,574,nl NED,FW,it Serie A,23-187,2003,0.1,0,1,0,0.0,10.00,0.00,0.00,,0,0,723,nl NED,FW,it Serie A,23-187,2003,1,9,9,2.5,0.1,0,,0,1,9,1,0.00,0,0,0,0.00,+0.77,574,nl NED,FW,it Serie A,23-187,2003,0.1,0,0,0,0,0,0,0,0,0,0
575,Yannik Engelhardt,de GER,MF,Freiburg,de Bundesliga,25.0,2001,3,3,261,2.9,2,0,2,2,0,0,1,0,0.69,,,,,,,,,,,,,,,,,,,,,,,,,575,de GER,MF,de Bundesliga,25-219,2001,2.9,2,6,3,50.0,2.07,1.03,0.33,0.67,0,0,724,de GER,MF,de Bundesliga,25-219,2001,3,261,87,96.7,2.9,3,87,2,0,,0,3.00,10,1,+9,+3.10,+3.10,575,de GER,MF,de Bundesliga,25-219,2001,2.9,1,0,0,3,4,0,1,2,1,0
576,Ramón Enríquez,es ESP,MF,Málaga,es La Liga,25.0,2001,5,0,90,1.0,0,0,0,0,0,0,2,0,0.00,,,,,,,,,,,,,,,,,,,,,,,,,576,es ESP,MF,es La Liga,25-148,2001,1.0,0,0,0,,0.00,0.00,,,0,0,725,es ESP,MF,es La Liga,25-148,2001,5,90,18,20.0,1.0,0,,0,5,18,0,0.60,1,2,-1,-1.00,+0.25,576,es ESP,MF,es La Liga,25-148,2001,1.0,2,0,0,1,2,0,0,2,0,0
577,Paul Erevbenagie,de GER,MF,Werder Bremen,de Bundesliga,19.0,2007,2,0,32,0.4,0,0,0,0,0,0,0,0,0.00,,,,,,,,,,,,,,,,,,,,,,,,,577,de GER,MF,de Bundesliga,19-036,2007,0.4,0,1,1,100.0,2.81,2.81,0.00,0.00,0,0,726,de GER,MF,de Bundesliga,19-036,2007,2,32,16,11.9,0.4,0,,0,2,16,1,2.00,2,1,+1,+2.81,+3.57,577,de GER,MF,de Bundesliga,19-036,2007,0.4,0,0,0,1,0,0,1,1,1,0
578,Xavi Espart,es ESP,DF,Barcelona,es La Liga,19.0,2007,5,5,439,4.9,1,2,3,1,0,0,1,0,0.62,,,,,,,,,,,,,,,,,,,,,,,,,578,es ESP,DF,es La Liga,19-116,2007,4.9,1,4,2,50.0,0.82,0.41,0.25,0.50,0,0,728,es ESP,DF,es La Liga,19-116,2007,5,439,88,97.6,4.9,5,88,4,0,,0,3.00,20,3,+17,+3.49,+3.49,578,es ESP,DF,es La Liga,19-116,2007,4.9,1,0,0,8,3,0,4,6,9,0
579,Carlos Espí,es ESP,FW,Real Madrid,es La Liga,21.0,2005,3,0,25,0.3,1,0,1,1,0,0,0,0,3.60,,,,,,,,,,,,,,,,,,,,,,,,,579,es ESP,FW,es La Liga,21-052,2005,0.3,1,2,2,100.0,7.20,7.20,0.50,0.50,0,0,729,es ESP,FW,es La Liga,21-052,2005,3,25,8,5.6,0.3,0,,0,3,8,2,2.00,1,0,+1,+3.60,+1.69,579,es ESP,FW,es La Liga,21-052,2005,0.3,0,0,0,0,1,2,0,0,0,0
580,Francesco Esposito,it ITA,FW,Inter,it Serie A,21.0,2005,3,3,199,2.2,1,1,2,1,0,0,0,0,0.90,,,,,,,,,,,,,,,,,,,,,,,,,580,it ITA,FW,it Serie A,21-078,2005,2.2,1,11,4,36.4,4.97,1.81,0.09,0.25,0,0,730,it ITA,FW,it Serie A,21-078,2005,3,199,66,73.7,2.2,3,66,1,0,,0,3.00,5,1,+4,+1.81,+0.54,580,it ITA,FW,it Serie A,21-078,2005,2.2,0,0,0,0,6,1,0,0,1,0
581,Sebastiano Esposito,it ITA,FW,Sassuolo,it Serie A,24.0,2002,1,1,69,0.8,1,0,1,1,0,0,0,0,1.30,,,,,,,,,,,,,,,,,,,,,,,,,581,it ITA,FW,it Serie A,24-074,2002,0.8,1,2,1,50.0,2.61,1.30,0.50,1.00,0,0,731,it ITA,FW,it Serie A,24-074,2002,1,69,69,19.2,0.8,1,69,0,0,,1,3.00,1,0,+1,+1.30,+1.30,581,it ITA,FW,it Serie A,24-074,2002,0.8,0,0,0,1,3,0,0,0,0,0
582,Dario Essugo,pt POR,MF,Strasbourg,fr Ligue 1,21.0,2005,2,0,73,0.8,0,1,1,0,0,0,0,0,1.23,,,,,,,,,,,,,,,,,,,,,,,,,582,pt POR,MF,fr Ligue 1,21-184,2005,0.8,0,2,0,0.0,2.47,0.00,0.00,,0,0,733,pt POR,MF,fr Ligue 1,21-184,2005,2,73,37,20.3,0.8,0,,0,2,37,0,2.00,4,2,+2,+2.47,+2.78,582,pt POR,MF,fr Ligue 1,21-184,2005,0.8,0,0,0,0,5,0,0,1,0,0
583,Paco Esteban,es ESP,FW,Lecce,it Serie A,20.0,2006,1,0,17,0.2,0,0,0,0,0,0,0,0,0.00,,,,,,,,,,,,,,,,,,,,,,,,,583,es ESP,FW,it Serie A,20-135,2006,0.2,0,0,0,,0.00,0.00,,,0,0,734,es ESP,FW,it Serie A,20-135,2006,1,17,17,4.7,0.2,0,,0,1,17,3,3.00,0,1,-1,-5.29,-5.03,583,es ESP,FW,it Serie A,20-135,2006,0.2,0,0,0,0,2,0,0,0,2,0
584,Maxime Estève,fr FRA,DF,RB Leipzig,de Bundesliga,24.0,2002,2,1,108,1.2,0,0,0,0,0,0,0,0,0.00,,,,,,,,,,,,,,,,,,,,,,,,,584,fr FRA,DF,de Bundesliga,24-111,2002,1.2,0,0,0,,0.00,0.00,,,0,0,735,fr FRA,DF,de Bundesliga,24-111,2002,2,108,54,40.0,1.2,1,90,1,1,18,1,1.50,3,3,0,0.00,-3.33,584,fr FRA,DF,de Bundesliga,24-111,2002,1.2,0,0,0,0,0,0,0,2,1,0
585,Pervis Estupiñán,ec ECU,MF,Milan,it Serie A,28.0,1998,4,3,204,2.3,0,0,0,0,0,0,1,0,0.00,,,,,,,,,,,,,,,,,,,,,,,,,585,ec ECU,MF,it Serie A,28-236,1998,2.3,0,3,0,0.0,1.32,0.00,0.00,,0,0,736,ec ECU,MF,it Serie A,28-236,1998,4,204,51,56.7,2.3,3,67,1,1,4,0,2.00,4,3,+1,+0.44,-0.71,585,ec ECU,MF,it Serie A,28-236,1998,2.3,1,0,0,4,0,1,5,3,1,0
586,Karl Etta Eyong,cm CMR,FW,Levante,es La Liga,22.0,2003,3,0,65,0.7,0,1,1,0,0,0,0,0,1.38,,,,,,,,,,,,,,,,,,,,,,,,,586,cm CMR,FW,es La Liga,22-335,2003,0.7,0,2,1,50.0,2.77,1.38,0.00,0.00,0,0,737,cm CMR,FW,es La Liga,22-335,2003,3,65,22,14.4,0.7,0,,0,3,22,0,1.33,1,1,0,0.00,+0.47,586,cm CMR,FW,es La Liga,22-335,2003,0.7,0,0,0,2,2,0,1,0,0,0
587,Evanilson,br BRA,FW,Bournemouth,eng Premier League,26.0,1999,4,4,333,3.7,0,3,3,0,0,0,1,0,0.81,,,,,,,,,,,,,,,,,,,,,,,,,587,br BRA,FW,eng Premier League,26-343,1999,3.7,0,6,0,0.0,1.62,0.00,0.00,,0,0,738,br BRA,FW,eng Premier League,26-343,1999,4,333,83,92.5,3.7,4,83,1,0,,0,0.75,6,4,+2,+0.54,+10.54,587,br BRA,FW,eng Premier League,26-343,1999,3.7,1,0,0,7,8,3,2,4,0,0
588,Milan van Ewijk,nl NED,"MF,DF",Coventry City,eng Premier League,26.0,2000,4,4,360,4.0,0,0,0,0,0,0,1,0,0.00,,,,,,,,,,,,,,,,,,,,,,,,,588,nl NED,"MF,DF",eng Premier League,26-006,2000,4.0,0,0,0,,0.00,0.00,,,0,0,739,nl NED,"MF,DF",eng Premier League,26-006,2000,4,360,90,100.0,4.0,4,90,4,0,,0,0.00,0,10,-10,-2.50,,588,nl NED,"MF,DF",eng Premier League,26-006,2000,4.0,1,0,0,4,2,0,4,5,4,0
589,Edu Expósito,es ESP,MF,Espanyol,es La Liga,30.0,1996,5,5,419,4.7,0,0,0,0,0,0,1,0,0.00,,,,,,,,,,,,,,,,,,,,,,,,,589,es ESP,MF,es La Liga,30-044,1996,4.7,0,11,1,9.1,2.36,0.21,0.00,0.00,0,0,740,es ESP,MF,es La Liga,30-044,1996,5,419,84,93.1,4.7,5,84,1,0,,0,1.40,8,4,+4,+0.86,+3.76,589,es ESP,MF,es La Liga,30-044,1996,4.7,1,0,0,4,3,0,11,2,5,0
590,Théo Eyoum,fr FRA,DF,Le Mans,fr Ligue 1,24.0,2002,2,2,180,2.0,0,0,0,0,0,0,0,0,0.00,,,,,,,,,,,,,,,,,,,,,,,,,590,fr FRA,DF,fr Ligue 1,24-250,2002,2.0,0,0,0,,0.00,0.00,,,0,0,741,fr FRA,DF,fr Ligue 1,24-250,2002,2,180,90,50.0,2.0,2,90,2,0,,0,0.50,4,5,-1,-0.50,-0.50,590,fr FRA,DF,fr Ligue 1,24-250,2002,2.0,0,0,0,2,0,0,0,2,0,0
591,Eberechi Eze,eng ENG,"FW,MF",Arsenal,eng Premier League,28.0,1998,3,0,70,0.8,0,0,0,0,0,0,0,0,0.00,,,,,,,,,,,,,,,,,,,,,,,,,591,eng ENG,"FW,MF",eng Premier League,28-077,1998,0.8,0,1,0,0.0,1.29,0.00,0.00,,0,0,742,eng ENG,"FW,MF",eng Premier League,28-077,1998,3,70,23,19.4,0.8,0,,0,3,23,1,3.00,2,0,+2,+2.57,+1.02,591,eng ENG,"FW,MF",eng Premier League,28-077,1998,0.8,0,0,0,0,3,0,1,0,0,0
592,Abde Ezzalzouli,ma MAR,"FW,MF",Real Betis,es La Liga,24.0,2001,1,0,17,0.2,0,0,0,0,0,0,0,0,0.00,,,,,,,,,,,,,,,,,,,,,,,,,592,ma MAR,"FW,MF",es La Liga,24-271,2001,0.2,0,0,0,,0.00,0.00,,,0,0,743,ma MAR,"FW,MF",es La Liga,24-271,2001,1,17,17,4.7,0.2,0,,0,1,17,0,0.00,0,1,-1,-5.29,-5.56,592,ma MAR,"FW,MF",es La Liga,24-271,2001,0.2,0,0,0,0,0,0,5,0,0,0
593,Giovanni Fabbian,it ITA,MF,Parma,it Serie A,23.0,2003,1,1,45,0.5,0,0,0,0,0,0,0,0,0.00,,,,,,,,,,,,,,,,,,,,,,,,,593,it ITA,MF,it Serie A,23-243,2003,0.5,0,1,0,0.0,2.00,0.00,0.00,,0,0,744,it ITA,MF,it Serie A,23-243,2003,1,45,45,16.7,0.5,1,45,0,0,,1,1.00,0,1,-1,-2.00,-1.20,593,it ITA,MF,it Serie A,23-243,2003,0.5,0,0,0,1,1,0,0,1,0,0
